age,gender,nationality,num_unemployment,last_job_duration,education,num_moves,total_employment_duration,job_search_duration,wage,skill_level,industry,region,benefit_duration,training_participation,number_of_jobs,LTU
56,Female,German,0,2.8824705754465416,Medium,2,12.644830687032114,6.341130766415999,2541.898397843591,High,Services,Urban,10,0,4,0
46,Male,German,3,1.989966299265328,Low,2,6.2537357942813365,5.93029609901799,3116.6544784170314,Low,Manufacturing,Urban,0,0,2,1
32,Male,German,2,3.1590094647353957,Low,3,13.053138009474818,5.4839151395558705,3874.102052138486,High,Services,Urban,2,0,0,1
60,Female,German,2,3.130701192195527,Medium,1,1.3446385068921778,8.548870288545638,3015.2273409728614,Medium,Manufacturing,Urban,1,0,1,1
25,Male,German,0,3.159513053798432,Low,1,1.504778754110391,4.122013607541664,2711.606129063463,High,Tech,Urban,1,0,3,0
38,Female,German,2,1.2815337158071576,High,2,13.116159665837015,7.852349053370275,1877.383176207642,High,Services,Urban,2,1,2,1
56,Male,Non-German,1,2.5877509854947176,Medium,1,8.029398301858999,5.4464979384434935,2912.578790225288,High,Other,Rural,4,0,5,0
36,Male,German,2,4.5206437506997155,Low,1,11.683263463519982,4.50031415458363,3537.822157528544,Low,Tech,Suburban,0,0,2,1
40,Female,Non-German,1,2.6403667372399195,Medium,0,8.397883832436602,5.537794698661693,2327.1294983904254,High,Manufacturing,Urban,10,0,2,0
28,Male,German,0,3.323563825202516,Medium,3,7.9718363658772,5.907239028195854,1397.3281143924467,Low,Tech,Urban,4,1,5,1
28,Male,German,1,3.33407400145271,High,2,2.6879165635031006,5.004512749154331,4819.39212096909,Low,Services,Suburban,4,0,7,1
41,Male,German,2,3.834790261467834,High,2,7.892641726731393,8.22554503563011,3268.1403872805568,Medium,Services,Urban,4,0,4,0
53,Male,German,4,4.117301830027621,Medium,4,13.446428945267005,4.515831810154446,2822.7411291272333,High,Tech,Suburban,1,0,5,1
57,Female,German,1,2.651698780501559,Medium,1,8.226681176286688,6.280149695919654,4112.795844163498,Medium,Services,Rural,4,0,3,0
41,Male,German,1,1.1773293938158071,Medium,3,10.728312782960908,7.07486518277606,3113.183473187043,High,Services,Suburban,1,1,5,1
20,Female,German,2,0.5625693426502485,Medium,2,10.617495837574472,6.259446097366746,4065.625449304987,Medium,Services,Urban,6,0,2,0
39,Male,German,0,5.035372825472718,Low,2,3.9491679333534737,7.544459866966583,3997.0889727017784,Low,Services,Suburban,0,1,6,0
19,Female,German,6,4.540500895942133,Low,1,11.428521327010873,5.1328719344729015,1980.3833008918955,High,Manufacturing,Rural,1,0,2,1
41,Female,German,1,4.298729368675053,Medium,3,6.745085107760609,7.245254079624642,3367.995693130444,Low,Services,Suburban,2,0,1,1
61,Female,German,0,4.622407055725347,Low,1,6.961390366821222,7.30445640023339,4380.228525575476,High,Manufacturing,Suburban,1,0,1,1
47,Male,Non-German,0,2.676888032748223,Low,2,16.390780756021307,7.936240154481237,2201.079447721754,Medium,Manufacturing,Urban,1,0,8,1
55,Male,German,3,1.7502471644688997,Medium,1,10.389213467326076,2.2286841034780194,2210.900326358126,Medium,Manufacturing,Urban,2,0,5,1
19,Male,German,2,1.039185180403924,Low,3,5.4459919028911665,7.018092277348134,2346.239144398389,Medium,Services,Suburban,5,0,4,1
38,Female,Non-German,1,0.8213000068290013,Medium,3,8.25815225203889,7.802539539123229,3712.334868392166,Low,Services,Rural,2,0,1,0
50,Female,German,2,5.424317377100662,Medium,1,8.146479705432892,5.177082738419025,3227.508570290875,Medium,Tech,Suburban,1,1,6,0
29,Female,German,3,2.0137102884917026,High,2,14.744372617355976,4.904357151513557,1451.3821353282997,Low,Services,Suburban,0,0,1,1
39,Male,Non-German,0,5.109718138421774,Medium,0,8.157842321856418,4.597244789555089,3272.7568988135467,Low,Services,Urban,1,0,5,1
61,Female,German,0,2.6262283392386983,Low,2,16.83199461332387,3.9359886873352528,2798.468053703074,Low,Services,Urban,2,0,2,1
42,Female,German,2,1.647517583515152,Medium,2,2.813069210319842,7.331520108015605,2910.179305079865,Medium,Services,Suburban,4,0,6,1
44,Male,German,2,0.8112704048997132,High,0,7.870588985317223,10.563805833028344,2330.383922847108,Medium,Services,Urban,0,0,3,0
59,Male,German,2,1.8236912860244991,High,3,4.94857823121378,4.887959955683728,3278.6065772113066,Medium,Other,Suburban,0,1,6,0
45,Female,German,1,5.83647756581258,Medium,4,6.020685578321499,5.066903107590018,3840.366624245567,High,Other,Urban,1,1,3,0
33,Female,German,2,0.8315798404403751,Medium,0,6.107513981562577,6.030793073755791,2486.426906134016,Medium,Tech,Suburban,1,0,6,1
32,Female,German,0,7.233493642959301,High,3,5.154773280004492,2.796049975260641,1654.0351752504655,Medium,Other,Rural,1,0,5,0
64,Male,German,0,1.3187851450607124,Low,1,14.920687219942486,4.608903331016254,2757.508542786628,Medium,Services,Urban,4,0,1,1
61,Female,Non-German,1,4.499899941302491,Medium,2,13.690241315370056,5.886068639473467,3605.0293828817835,Medium,Services,Urban,1,1,3,1
20,Male,Non-German,0,2.7094974114900228,Medium,3,9.610578045856489,4.212143353998167,2663.175723310004,Medium,Tech,Suburban,2,0,3,1
54,Male,German,4,2.358880834947629,Low,2,6.102592420442516,8.394882753099337,1801.960831071871,Low,Services,Rural,2,0,2,1
24,Male,German,1,0.45715844574972797,Medium,0,5.267067828889248,3.4123652698642144,3610.5942791355046,High,Tech,Suburban,0,1,4,0
38,Female,German,5,2.8032140344975236,Low,0,10.967234965911075,7.802010648404231,4132.27851759865,Medium,Tech,Urban,3,1,2,1
26,Female,German,2,0.6834280072679912,Medium,1,9.2006038049447,8.937004543770799,3016.0124400887394,Low,Other,Urban,2,0,4,1
56,Female,German,2,0.0,High,4,7.42069618560166,6.763449489693653,1715.3673120147216,Medium,Services,Urban,1,1,4,0
35,Male,German,7,3.2391973564348984,Low,1,10.164772029201723,5.725098886088046,2745.7355663843646,Low,Tech,Urban,4,0,0,1
21,Female,Non-German,2,1.7291537863284894,High,0,11.564282163641968,6.492563625944997,3121.2311046602167,Low,Services,Rural,0,0,4,1
42,Male,German,2,6.368697032249962,Low,2,7.383839879892111,5.118872932120212,2352.229354198619,Low,Services,Rural,6,0,2,1
31,Female,German,2,5.000043430185645,Medium,0,4.850696349247684,1.9278636030484133,3466.697785017132,Medium,Services,Urban,2,1,3,0
26,Male,German,0,6.394864362673539,Low,3,2.7155373326919516,4.041495333991266,2274.0311080801607,Medium,Tech,Urban,2,0,3,0
43,Male,German,0,1.6382341909842026,High,3,9.002526697365854,5.977641769044236,3020.50213792162,High,Other,Urban,6,0,2,0
19,Male,Non-German,2,3.2722754802625746,Medium,2,16.668983892531976,4.11862623005897,2817.3423325293097,Low,Manufacturing,Rural,5,1,0,0
37,Male,Non-German,1,0.0,Medium,4,3.557346920195025,5.173754228461374,3492.683838520069,Medium,Services,Suburban,2,0,1,1
